Attack,Strength,Robust_Acc,Robust_F1,ASR,Relative_Drop,ECE
dummy,0.4,32.40,33.54,56.47,52.44,25.80
dummy,0.7,25.45,26.77,66.85,62.65,33.89
dummy,1.0,17.60,18.48,77.54,74.17,43.31
iat_jitter,0.4,67.67,66.74,1.36,0.68,10.37
iat_jitter,0.7,67.26,66.35,2.65,1.29,10.38
iat_jitter,1.0,65.71,64.87,5.80,3.56,9.54
mixed,0.4,22.15,23.76,71.31,67.50,39.02
mixed,0.7,12.24,12.50,84.70,82.03,53.15
mixed,1.0,7.82,7.13,90.59,88.53,62.95
adaptive,0.4,22.67,24.22,70.49,66.73,38.54
adaptive,0.7,12.41,12.68,85.05,81.78,53.32
adaptive,1.0,7.62,6.88,91.09,88.81,62.98
